City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current_description
247,Ibra,OM,22.6906,58.5334,89.65,46,100,9.95,overcast clouds
248,Yulara,AU,-25.2406,130.9889,51.64,62,0,5.75,clear sky
249,Porto Novo,BJ,6.4965,2.6036,80.42,77,97,8.79,overcast clouds
250,Clyde River,CA,70.4692,-68.5914,50.23,76,20,5.75,few clouds
251,Santiago Del Estero,AR,-27.7951,-64.2615,65.8,19,0,14.92,clear sky
252,Pisco,PE,-13.7,-76.2167,64.45,77,75,13.8,broken clouds
253,Singkawang,ID,0.9,109.0,77.45,88,16,4.68,few clouds
254,Mahanoro,MG,-19.9,48.8,67.48,86,10,4.18,light rain
255,Arbazh,RU,57.6804,48.3065,66.29,69,100,4.99,overcast clouds
256,Longonjo,AO,-12.9067,15.2533,65.41,19,0,4.27,clear sky
257,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,26,20,31.07,few clouds
258,Ellensburg,US,46.9965,-120.5479,95.25,32,1,0.0,clear sky
259,Tymovskoye,RU,50.8456,142.655,57.22,99,100,5.88,overcast clouds
260,Iqaluit,CA,63.7506,-68.5145,55.13,54,75,4.61,broken clouds
261,Melfort,CA,52.8667,-104.6177,81.36,34,5,8.05,clear sky
262,Eureka,US,40.8021,-124.1637,92.68,78,71,7.0,broken clouds
263,Gravdal,NO,68.1214,13.5031,56.88,87,75,23.02,broken clouds
264,Panguna,PG,-6.3164,155.4848,66.87,96,77,2.37,broken clouds
265,Saint-Augustin,CA,51.226,-58.6502,66.6,64,100,23.6,overcast clouds
266,Tuktoyaktuk,CA,69.4541,-133.0374,66.2,59,75,18.41,broken clouds
267,Hoima,UG,1.4356,31.3436,71.28,52,94,4.83,overcast clouds
268,Malakal,SS,9.5334,31.6605,70.27,95,90,3.65,overcast clouds
269,Wenling,CN,28.3669,121.36,78.91,94,100,8.68,overcast clouds
270,Aksu,CN,41.1231,80.2644,81.28,28,94,2.64,overcast clouds
271,Hofn,IS,64.2539,-15.2082,55.42,71,20,11.5,few clouds
272,Verkhnevilyuysk,RU,63.4453,120.3167,54.05,56,27,1.3,scattered clouds
273,Sambava,MG,-14.2667,50.1667,68.76,88,35,11.95,light rain
274,Husavik,IS,66.0449,-17.3389,58.91,61,5,4.25,clear sky
275,Banda Aceh,ID,5.5577,95.3222,79.56,81,99,13.71,overcast clouds
276,Zherdevka,RU,51.8486,41.4606,69.57,88,85,7.43,overcast clouds
277,Chokurdakh,RU,70.6333,147.9167,52.66,53,100,11.39,overcast clouds
278,Chiredzi,ZW,-21.05,31.6667,61.21,46,0,5.84,clear sky
279,Rocha,UY,-34.4833,-54.3333,56.46,50,0,8.84,clear sky
280,Flinders,AU,-34.5833,150.8552,58.28,54,14,1.01,few clouds
281,Dalbandin,PK,28.8947,64.4101,89.6,18,0,8.97,clear sky
282,Robertson,US,36.5167,-86.8667,93.22,63,40,10.36,scattered clouds
283,Harbour Breton,CA,47.4833,-55.7983,63.1,72,100,9.98,overcast clouds
284,Barra Do Corda,BR,-5.5,-45.25,95.88,31,91,4.81,overcast clouds
285,Priamurskiy,RU,48.5217,134.9028,68.41,78,98,14.5,overcast clouds
286,Poum,NC,-20.2333,164.0167,70.09,58,0,21.92,clear sky
287,Beringovskiy,RU,63.05,179.3167,41.74,75,100,10.6,overcast clouds
288,Ambulu,ID,-8.345,113.6058,75.0,89,65,6.4,broken clouds
289,Balkanabat,TM,39.5108,54.3671,83.53,41,55,8.25,broken clouds
290,Richards Bay,ZA,-28.783,32.0377,61.25,82,0,6.06,clear sky
291,Itupiranga,BR,-5.1347,-49.3267,95.32,40,81,3.76,broken clouds
292,Tecoanapa,MX,16.5167,-98.75,81.99,72,100,6.87,overcast clouds
293,Longavi,CL,-35.9667,-71.6833,63.23,49,6,3.85,clear sky
294,Sciacca,IT,37.5082,13.0881,84.65,74,0,3.0,clear sky
295,Nanticoke,US,41.2054,-76.0049,80.62,58,46,4.0,scattered clouds
296,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,82.6,70,98,3.62,overcast clouds
297,Mandera,KE,3.9366,41.867,84.24,38,100,19.13,overcast clouds
298,Shizunai,JP,42.3339,142.3669,69.13,94,75,3.74,broken clouds
299,Jumla,NP,29.2747,82.1838,63.03,98,100,2.42,overcast clouds
300,Basco,PH,20.4487,121.9702,83.3,87,100,28.41,moderate rain
301,Batagay,RU,67.6333,134.6333,54.81,56,79,2.24,broken clouds
302,Pattoki,PK,31.0167,73.85,87.78,66,0,7.56,clear sky
303,Moron,AR,-34.6534,-58.6198,63.01,31,0,8.01,clear sky
304,Bulawayo,ZW,-20.15,28.5833,54.21,46,39,12.66,scattered clouds
305,Teguldet,RU,57.3064,88.1667,51.12,95,17,4.5,few clouds
306,Aranos,NA,-24.1333,19.1167,55.76,23,0,11.18,clear sky
307,Marystown,CA,47.1666,-55.1483,63.5,68,100,13.78,overcast clouds
308,Geraldton,AU,-28.7667,114.6,58.12,71,75,17.27,broken clouds
309,Haines Junction,CA,60.7522,-137.5108,62.55,51,0,1.14,clear sky
310,Aswan,EG,24.0934,32.907,99.7,14,0,9.22,clear sky
311,Hamburg,DE,53.55,10.0,72.28,56,0,3.44,clear sky
312,Cortez,US,37.3489,-108.5859,87.69,49,20,12.66,few clouds
313,Ponta Do Sol,PT,32.6667,-17.1,76.71,71,1,6.24,clear sky
314,Altamont,US,42.2068,-121.7372,75.04,46,20,0.0,few clouds
315,Charters Towers,AU,-20.1,146.2667,66.24,85,99,10.69,overcast clouds
316,Bilma,NE,18.6853,12.9164,101.05,16,3,5.32,clear sky
317,Inuvik,CA,68.3499,-133.7218,72.46,46,75,8.05,broken clouds
318,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.69,51,20,19.51,few clouds
319,Maniitsoq,GL,65.4167,-52.9,50.18,77,94,7.78,overcast clouds
320,Samarai,PG,-10.6167,150.6667,79.57,77,100,19.53,overcast clouds
321,Lasa,IT,46.6166,10.7002,75.11,85,77,4.34,broken clouds
322,Henties Bay,NA,-22.116,14.2845,67.86,50,0,11.3,clear sky
323,Labuan,MY,5.2767,115.2417,79.16,89,20,0.0,few clouds
324,Kudahuvadhoo,MV,2.6708,72.8944,82.27,72,100,3.31,overcast clouds
325,Nouakchott,MR,18.0858,-15.9785,78.73,74,5,17.43,clear sky
326,Azul,AR,-36.777,-59.8585,56.79,41,0,14.32,clear sky
327,Santa Fe,AR,-31.6333,-60.7,64.74,23,0,8.01,clear sky
328,Kupang,ID,-10.1667,123.5833,74.21,87,4,6.58,clear sky
329,Sarab,IR,38.6066,44.9883,76.12,40,100,5.1,overcast clouds
330,Stornoway,GB,58.2093,-6.3865,59.94,94,75,9.22,broken clouds
331,Narrabri,AU,-30.3167,149.7833,42.53,87,0,0.0,clear sky
332,Monticello,US,45.3055,-93.7941,78.98,60,1,0.0,haze
333,Tautira,PF,-17.7333,-149.15,78.82,74,98,17.43,overcast clouds
334,Basar,IN,27.9833,94.6667,71.76,95,100,1.48,overcast clouds
335,Litovko,RU,49.2361,135.1742,61.52,76,94,11.12,overcast clouds
336,Vestmannaeyjar,IS,63.4427,-20.2734,56.39,82,40,14.97,scattered clouds
337,Providencia,MX,28.7167,-111.5833,92.86,40,5,7.36,clear sky
338,Fez,MA,34.0372,-4.9998,95.25,33,75,5.75,broken clouds
339,Agirish,RU,61.9247,63.0231,52.79,70,85,4.25,overcast clouds
